Material,Density,Price_Kg,Hardness_Factor
Mild Steel (SS400),7.85,18000,1.0
Aluminium 6061,2.70,65000,0.6
Stainless Steel 304,7.93,95000,1.5
Brass (Kuningan),8.73,125000,0.8
Bronze (Perunggu),8.80,180000,0.9
Nylon (Engineering Plastic),1.15,85000,0.4
Teflon (PTFE),2.20,150000,0.5
Tool Steel (SKD11),7.80,250000,1.8
